block_type,unitx,statistical_learning,sid,tasktype
learning,1,0.182909723541002,sub101,motor
learning,2,-0.163798312302845,sub101,motor
learning,3,-30.5447389721439,sub101,motor
learning,4,-11.8244713384036,sub101,motor
testing,T,-15.5705977938449,sub101,motor
learning,1,3.27360135138497,sub104,motor
learning,2,-1.08079473687235,sub104,motor
learning,3,0.500017397744898,sub104,motor
learning,4,7.89709789786309,sub104,motor
testing,T,0.571076754460194,sub104,motor
learning,1,-32.0904800676028,sub105,motor
learning,2,-61.3249164854268,sub105,motor
learning,3,-33.5490309189003,sub105,motor
learning,4,-58.6217140481278,sub105,motor
testing,T,-18.7389204671724,sub105,motor
learning,1,-18.7477675596841,sub128,motor
learning,2,-4.84222460692524,sub128,motor
learning,3,10.105395834095,sub128,motor
learning,4,-1.41105363791041,sub128,motor
testing,T,-30.1281805568578,sub128,motor
learning,1,1.68830122419149,sub101,percept
learning,2,-18.3256500053436,sub101,percept
learning,3,-26.9182489745361,sub101,percept
learning,4,25.5937732407913,sub101,percept
testing,T,-4.00526565535097,sub101,percept
learning,1,-36.1179736113021,sub102,percept
learning,2,-21.9136972197399,sub102,percept
learning,3,-13.7228094421719,sub102,percept
learning,4,-83.6084008344591,sub102,percept
testing,T,-24.4581570241627,sub102,percept
learning,1,9.68176660209872,sub103-2,percept
learning,2,-20.9419543860893,sub103-2,percept
learning,3,11.2981160255559,sub103-2,percept
learning,4,1.51712339736122,sub103-2,percept
testing,T,27.8292417416517,sub103-2,percept
learning,1,-7.145038849142,sub107,percept
learning,2,-34.436434792214,sub107,percept
learning,3,-27.3380859191557,sub107,percept
learning,4,-27.2864476321195,sub107,percept
testing,T,-1.45011666851741,sub107,percept
learning,1,-28.8124464642912,sub128,percept
learning,2,-20.8285469703659,sub128,percept
learning,3,-7.41964291457771,sub128,percept
learning,4,39.9717983543976,sub128,percept
testing,T,-4.07871176413369,sub128,percept
